Category,Books Count,Pages Count
Travel,11,1
Mystery,32,2
Historical Fiction,26,2
Sequential Art,75,4
Classics,19,1
Philosophy,11,1
Romance,35,2
Womens Fiction,17,1
Fiction,65,4
Childrens,29,2
Religion,7,1
Nonfiction,110,6
Music,13,1
Default,152,8
Science Fiction,16,1
Sports and Games,5,1
Add a comment,67,4
Fantasy,48,3
New Adult,6,1
Young Adult,54,3
Science,14,1
Poetry,19,1
Paranormal,1,1
Art,8,1
Psychology,7,1
Autobiography,9,1
Parenting,1,1
Adult Fiction,1,1
Humor,10,1
Horror,17,1
History,18,1
Food and Drink,30,2
Christian Fiction,6,1
Business,12,1
Biography,5,1
Thriller,11,1
Contemporary,3,1
Spirituality,6,1
Academic,1,1
Self Help,5,1
Historical,2,1
Christian,3,1
Suspense,1,1
Short Stories,1,1
Novels,1,1
Health,4,1
Politics,3,1
Cultural,1,1
Erotica,1,1
Crime,1,1
